09-23-2026 02:00:20 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48C soc2@47.281C soc0@47.625C gpu@49.656C tj@49.656C soc1@46.812C VDD_IN 10389mW/9755mW VDD_CPU_GPU_CV 6150mW/5563mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:20 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@47.437C soc0@47.656C gpu@49.812C tj@49.812C soc1@46.937C VDD_IN 10389mW/9770mW VDD_CPU_GPU_CV 6190mW/5577mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:21 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,1%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.218C soc2@47.406C soc0@47.812C gpu@49.687C tj@49.687C soc1@47.062C VDD_IN 10389mW/9784mW VDD_CPU_GPU_CV 6190mW/5591mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:21 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.062C soc2@47.312C soc0@47.843C gpu@49.531C tj@49.531C soc1@47.187C VDD_IN 10429mW/9798mW VDD_CPU_GPU_CV 6190mW/5604mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:22 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [3%@1344,0%@1344,1%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.093C soc2@47.437C soc0@47.968C gpu@49.718C tj@49.718C soc1@47.281C VDD_IN 10389mW/9810mW VDD_CPU_GPU_CV 6150mW/5615mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:22 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.125C soc2@47.562C soc0@48.031C gpu@49.687C tj@49.687C soc1@47.156C VDD_IN 10389mW/9822mW VDD_CPU_GPU_CV 6150mW/5626mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:23 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [1%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.25C soc2@47.593C soc0@47.937C gpu@50C tj@50C soc1@47.218C VDD_IN 10389mW/9834mW VDD_CPU_GPU_CV 6150mW/5637mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:23 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 99%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.25C soc2@47.593C soc0@47.906C gpu@49.625C tj@49.843C soc1@47.218C VDD_IN 10389mW/9845mW VDD_CPU_GPU_CV 6150mW/5647mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:24 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,1%@1344,1%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.343C soc2@47.593C soc0@48.062C gpu@50.062C tj@50.062C soc1@47.375C VDD_IN 10389mW/9856mW VDD_CPU_GPU_CV 6150mW/5657mW VDD_SOC 1353mW/1355mW
09-23-2026 02:00:24 RAM 1968/7620MB (lfb 96x4MB) SWAP 566/3810MB (cached 0MB) CPU [0%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 98%@[915] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@48.437C soc2@47.625C soc0@48.062C gpu@49.906C tj@49.906C soc1@47.468C VDD_IN 10389mW/9866mW VDD_CPU_GPU_CV 6150mW/5667mW VDD_SOC 1393mW/1355mW
