09-23-2026 02:14:26 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@50.593C soc0@51.562C gpu@50.843C tj@51.562C soc1@51.406C VDD_IN 4563mW/4563mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1365mW
09-23-2026 02:14:26 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.031C soc2@50.593C soc0@51.375C gpu@51.187C tj@51.375C soc1@51.187C VDD_IN 4523mW/4562mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1365mW
09-23-2026 02:14:27 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [1%@1344,1%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.187C soc2@50.562C soc0@51.468C gpu@50.687C tj@51.468C soc1@51.187C VDD_IN 4523mW/4561mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1366mW
09-23-2026 02:14:27 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.281C soc2@50.531C soc0@51.437C gpu@50.875C tj@51.437C soc1@51.187C VDD_IN 4563mW/4561mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1366mW
09-23-2026 02:14:28 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.968C soc2@50.375C soc0@51.406C gpu@50.781C tj@51.406C soc1@51.062C VDD_IN 4523mW/4560mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1366mW
09-23-2026 02:14:28 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,1%@729,3%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.031C soc2@50.406C soc0@51.312C gpu@50.656C tj@51.312C soc1@51.062C VDD_IN 4563mW/4560mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1366mW
09-23-2026 02:14:29 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,0%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.062C soc2@50.437C soc0@51.312C gpu@50.875C tj@51.312C soc1@51.093C VDD_IN 4523mW/4560mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1366mW
09-23-2026 02:14:29 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@1344,0%@1344,0%@1344,0%@1344,1%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@51.031C soc2@50.375C soc0@51.281C gpu@50.718C tj@51.281C soc1@51.218C VDD_IN 4563mW/4560mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1366mW
09-23-2026 02:14:30 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,3%@729,0%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.812C soc2@50.312C soc0@51.125C gpu@50.75C tj@51.125C soc1@50.968C VDD_IN 4523mW/4559mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1366mW
09-23-2026 02:14:30 RAM 977/7620MB (lfb 162x4MB) SWAP 610/3810MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,1%@729] EMC_FREQ 0%@2133 GR3D_FREQ 0%@[305] NVDEC off NVJPG off NVJPG1 off VIC off OFA off APE 200 cpu@50.781C soc2@50.343C soc0@51.156C gpu@50.625C tj@51.156C soc1@51.062C VDD_IN 4563mW/4559mW VDD_CPU_GPU_CV 524mW/525mW VDD_SOC 1373mW/1367mW
